acronym	Partnership	action
HiEff-CleanBioComb	Eurostars 2	Article 185
HiEff-CBC	Eurostars 2	Article 185
LaFiWeG	Eurostars 2	Article 185
Full-HD	JPco-fuND	ERA-NET Cofund
DEEPTRACE	Eurostars 2	Article 185
FCD-TRANSPORT	Eurostars 2	Article 185
FACTA	Eurostars 2	Article 185
BAPUR	M-ERA.NET 3	ERA-NET Cofund
SeaSnake	OCEANERA-NET COFUND	ERA-NET Cofund
AEDrone	Eurostars 2	Article 185
FITex-ID	Eurostars 2	Article 185
TimBoost	Eurostars 2	Article 185
FunEnzFibres	ForestValue	ERA-NET Cofund
2D-SPIN-MEM	M-ERA.NET 2	ERA-NET Cofund
FLAshMoB	MarTERA	ERA-NET Cofund
BoneFix	MANUNET III	ERA-NET Cofund
MARFOR	BiodivERsA3	ERA-NET Cofund
BearConnect	BiodivERsA3	ERA-NET Cofund
FUNgreen	BiodivERsA3	ERA-NET Cofund
FunKeyCat	M-ERA.NET 2	ERA-NET Cofund
SCOOP	Eurostars 2	Article 185
Shearox	Eurostars 2	Article 185
RESCUEGRAPH	FLAG-ERA III	ERA-NET Cofund
PLACOATAM	M-ERA.NET 2	ERA-NET Cofund
FunTomP	PRIMA	Article 185
CoraPatents	Eurostars 2	Article 185
FUNMIN	ACT	ERA-NET Cofund
FUNZYbio	PRIMA	Article 185
16ENV03 MetEOC-3	EMPIR	Article 185
Face2Phone	Eurostars 2	Article 185
GlioPhos	Eurostars 2	Article 185
FATE	BiodivScen	ERA-NET Cofund
FutureArcticLives	BiodivClim	ERA-NET Cofund
FAAIR	Eurostars 2	Article 185
15SIB07 PhotoLED	EMPIR	Article 185
MedInCircle	PRIMA	Article 185
FTRGLV	Eurostars 2	Article 185
GBA-PaCTS	JPCOFUND2	ERA-NET Cofund
GBA-PARK	JPco-fuND	ERA-NET Cofund
GEOFOOD	GEOTHERMICA	ERA-NET Cofund
GEOCLAD	Eurostars 2	Article 185
GLYCex	Eurostars 2	Article 185
HMO4all	Eurostars 2	Article 185
GOTHAM	PRIMA	Article 185
EPIGRAPH	FLAG-ERA II	ERA-NET Cofund
GRAFIN	FLAG-ERA II	ERA-NET Cofund
GREEN-BAT	M-ERA.NET 3	ERA-NET Cofund
GASH02	Eurostars 2	Article 185
GUARDIAN	AAL 2	Article 185
GUIDed	AAL 2	Article 185
Q-GaN	Eurostars 2	Article 185
GaitKeeper	Eurostars 2	Article 185
GoFIB	M-ERA.NET 3	ERA-NET Cofund
ALPHA	Eurostars 2	Article 185
MyMate	AAL 2	Article 185
Rethealthsi	NEURON Cofund	ERA-NET Cofund
GADEIRE	M-ERA.NET 2	ERA-NET Cofund
GAINFUL	Eurostars 2	Article 185
G17QT	Eurostars 2	Article 185
GEiO	CHANSE	ERA-NET Cofund
GOING-FWD	GENDER NET Plus	ERA-NET Cofund
G-DEFINER	GENDER NET Plus	ERA-NET Cofund
MASCAGE	GENDER NET Plus	ERA-NET Cofund
GENPROVIC	ERA-CVD	ERA-NET Cofund
SCA-CYP	E-Rare-3	ERA-NET Cofund
EDSCIDPROG	E-Rare-3	ERA-NET Cofund
FANEDIT	EJP RD	EJP Cofund
PDE4Heart	ERA-CVD	ERA-NET Cofund
GEIGHEI	DIAL	ERA-NET Cofund
MADGIC	JPco-fuND	ERA-NET Cofund
BIOINVENT	BiodivERsA3	ERA-NET Cofund
GenMalCarb	ERA-HDHL	ERA-NET Cofund
GRIPS-NGS	EDCTP2	Article 185
GCH-CLL	TRANSCAN-2	ERA-NET Cofund
GET-READY	EJP RD	EJP Cofund
INSTALZ	JPco-fuND	ERA-NET Cofund
GENIE	Eurostars 2	Article 185
GEPI-BIOPSY	NEURON Cofund	ERA-NET Cofund
GEPARD	ERA PerMed	ERA-NET Cofund
PRECEDENCE	TRANSCAN-3	ERA-NET Cofund
GIP-P	GeoERA	ERA-NET Cofund
GeoSence	EN-UAC	ERA-NET Cofund
GARAH	GeoERA	ERA-NET Cofund
Gitaro.JIM	MarTERA	ERA-NET Cofund
GeMOS	QuantERA II	ERA-NET Cofund
GREAT	AAL 2	Article 185
GtG	AAL 2	Article 185
STAR	ICT-AGRI-FOOD	ERA-NET Cofund
GDNF UpReg	NEURON Cofund2	ERA-NET Cofund
Glioma-PerMed	ERA PerMed	ERA-NET Cofund
GOSTEP	Eurostars 2	Article 185
GODESS	Eurostars 2	Article 185
GreenSpark	Eurostars 2	Article 185
GREAT	EDCTP2	Article 185
GLOCULL	EN-SUGI	ERA-NET Cofund
GOTTARG	EuroNanoMed III	ERA-NET Cofund
Analyse JET	Eurostars 2	Article 185
MEDGOAT	PRIMA	Article 185
Got-IT	AAL 2	Article 185
GLIMER	ENSUF	ERA-NET Cofund
GoST	T2S	ERA-NET Cofund
GourMed	PRIMA	Article 185
GoPHy MiCO	M-ERA.NET 2	ERA-NET Cofund
GONACi	HERA-JRP-PS	ERA-NET Cofund
AGRICOMPET	PRIMA	Article 185
GRADIENT	M-ERA.NET 3	ERA-NET Cofund
GO-FOR-WATER	FLAG-ERA III	ERA-NET Cofund
GRAPHAR	FLAG-ERA III	ERA-NET Cofund
GIQS	EMPIR	Article 185
HEROIC	Eurostars 2	Article 185
CORR-PROOF	M-ERA.NET 2	ERA-NET Cofund
GrassToGas	ERA-GAS	ERA-NET Cofund
GSB	Eurostars 2	Article 185
greenTEA-2	Eurostars 2	Article 185
GreenWaterTech	AquaticPollutants	ERA-NET Cofund
GreenCOAT	M-ERA.NET 2	ERA-NET Cofund
GreenLane	ForestValue	ERA-NET Cofund
GreenSkin	Eurostars 2	Article 185
GENIUS	ERA-MIN3	ERA-NET Cofund
GAMES	EnerDigit	ERA-NET Cofund
GReSBAS	ERANet SmartGridPlus	ERA-NET Cofund
SupraEMI	EMPIR	Article 185
LapSim Hemicolectomy	Eurostars 2	Article 185
GrowDMD	EJP RD	EJP Cofund
GrowGame	Eurostars 2	Article 185
GUODLCCI	DIAL	ERA-NET Cofund
GrowH!	HDHL-INTIMIC	ERA-NET Cofund
GSkin	EuroNanoMed III	ERA-NET Cofund
TheUltimateMappingTablet	Eurostars 2	Article 185
DayGuide	AAL 2	Article 185
BioNUGUT	ERA-HDHL	ERA-NET Cofund
G2B	Eurostars 2	Article 185
RuNNINg	EuroNanoMed III	ERA-NET Cofund
GyroNuQ	Eurostars 2	Article 185
H2O -- T2S	T2S	ERA-NET Cofund
HAAL	AAL 2	Article 185
SRA-NED	JPco-fuND	ERA-NET Cofund
HARMONY	Eurostars 2	Article 185
HATUA-KENYA	EDCTP2	Article 185
HCQ4Surfdefect	E-Rare-3	ERA-NET Cofund
HDHL-INTIMIC KP	HDHL-INTIMIC	ERA-NET Cofund
HEATflex	EN SGplusRegSys	ERA-NET Cofund
HELP ME BRUSH	AAL 2	Article 185
HEROES	AAL 2	Article 185
HIP-3D	Eurostars 2	Article 185
HI-POBOS	Eurostars 2	Article 185
HIPER XL	Solar Cofund 2	ERA-NET Cofund
HNNH	AAL 2	Article 185
Home4Dem	AAL 2	Article 185
HOPLITES	Eurostars 2	Article 185
ReDiMoAMD	NEURON Cofund	ERA-NET Cofund
HYBRIDMIND	NEURON Cofund	ERA-NET Cofund
HESAC	BESTF3	ERA-NET Cofund
LeakLoQu	Eurostars 2	Article 185
HAROD-PICS	Eurostars 2	Article 185
HEI-Coat	M-ERA.NET 2	ERA-NET Cofund
HSM-QCC	QuantERA II	ERA-NET Cofund
PETMETPAT	JPco-fuND	ERA-NET Cofund
HARNESS	JPco-fuND	ERA-NET Cofund
Hipbi-RD	E-Rare-3	ERA-NET Cofund
HSG	JPco-fuND	ERA-NET Cofund
BRCAddict	TRANSCAN-2	ERA-NET Cofund
SMART	EDCTP2	Article 185
CooCE	ACT	ERA-NET Cofund
potatoMETAbiome	SusCrop	ERA-NET Cofund
UltraGraf	M-ERA.NET 2	ERA-NET Cofund
HIKE	GeoERA	ERA-NET Cofund
HAMAAC	M-ERA.NET 3	ERA-NET Cofund
HealthSCOPE	Eurostars 2	Article 185
HcPubbs	HERA-JRP-PS	ERA-NET Cofund
FAT4HEART	ERA-CVD	ERA-NET Cofund
HOME	Eurostars 2	Article 185
HeartMed	ERA PerMed	ERA-NET Cofund
HeartPace	Eurostars 2	Article 185
HotFlaMe	Eurostars 2	Article 185
WearTech	Eurostars 2	Article 185
HepaPlateTM	Eurostars 2	Article 185
HepaPlate™	Eurostars 2	Article 185
E - HPP	Eurostars 2	Article 185
H2O	FLAG-ERA II	ERA-NET Cofund
HiT-GlyP	Eurostars 2	Article 185
HILAS	Eurostars 2	Article 185
TwingPower	Eurostars 2	Article 185
AMBITION-cm	EDCTP2	Article 185
EmpHATICAT	Eurostars 2	Article 185
HED-LiS	EN SGplusRegSys	ERA-NET Cofund
PHOTON	Eurostars 2	Article 185
HiPA²l	M-ERA.NET 2	ERA-NET Cofund
DeMuR System	Eurostars 2	Article 185
HiPerPlas	Eurostars 2	Article 185
HIP-Lasers	Eurostars 2	Article 185
HR3D COLOURPRINTER	Eurostars 2	Article 185
RADICLE X-RAY	Eurostars 2	Article 185
GraSonics	M-ERA.NET 3	ERA-NET Cofund
HEATSTORE	GEOTHERMICA	ERA-NET Cofund
HARaMold	Eurostars 2	Article 185
HiPhoP	QuantERA	ERA-NET Cofund
TriboHEA	M-ERA.NET 2	ERA-NET Cofund
HEAMODELL	M-ERA.NET 2	ERA-NET Cofund
FORFLEXX	Eurostars 2	Article 185
DuplexCER	M-ERA.NET 3	ERA-NET Cofund
HiPerTurbines	Eurostars 2	Article 185
Si-CO	CSP ERANET	ERA-NET Cofund
HiPerScan	Eurostars 2	Article 185
HyBiCo	M-ERA.NET 2	ERA-NET Cofund
MicromodGan	Eurostars 2	Article 185
Femtoxide	Eurostars 2	Article 185
FrucToChem	Eurostars 2	Article 185
Bio4Food	CORE Organic Cofund	ERA-NET Cofund
CELICIA	MANUNET III	ERA-NET Cofund
IceBlue	Eurostars 2	Article 185
GigaMicro	Eurostars 2	Article 185
AluNanoCore	M-ERA.NET 2	ERA-NET Cofund
Insulated Unit One - IU1	Eurostars 2	Article 185
19ENG05 NanoWires	EMPIR	Article 185
PaveScan-4D	Eurostars 2	Article 185
FEMSCOPY	Eurostars 2	Article 185
3DMinBrain	JPco-fuND	ERA-NET Cofund
HEAVENLY	SOLAR-ERA.NET Cofund	ERA-NET Cofund
BI-FACE	SOLAR-ERA.NET Cofund	ERA-NET Cofund
H2-ELECTRODE	M-ERA.NET 3	ERA-NET Cofund
IronWorkCoat	M-ERA.NET 3	ERA-NET Cofund
HiPaSEED	Eurostars 2	Article 185
LONGLIGHT	Eurostars 2	Article 185
SeaMag	MarTERA	ERA-NET Cofund
CrystalCool	Eurostars 2	Article 185
LaMoFlo	M-ERA.NET 2	ERA-NET Cofund
HINT	Eurostars 2	Article 185
ESSteam	Eurostars 2	Article 185
LOCOMOTION	MarTERA	ERA-NET Cofund
EDGE HPC	Eurostars 2	Article 185
ATEX Robot Inspection	Eurostars 2	Article 185
HighWise	Eurostars 2	Article 185
HERO	Eurostars 2	Article 185
CAR4PDAC	TRANSCAN-3	ERA-NET Cofund
EcoLamb	SusAn	ERA-NET Cofund
CATALEAST	M-ERA.NET 2	ERA-NET Cofund
FreshRestore	BiodivRestore	ERA-NET Cofund
HONOR	EN SGplusRegSys	ERA-NET Cofund
SeeMyLife	EJP RD	EJP Cofund
QuantumGuide	QuantERA II	ERA-NET Cofund
HABRIA	Eurostars 2	Article 185
HAI-OPS	Eurostars 2	Article 185
MyTB	EDCTP2	Article 185
TECHNO	Governance	ERA-NET Cofund
WILD HEALTH	BiodivScen	ERA-NET Cofund
HIPPOPLAST	FLAG-ERA II	ERA-NET Cofund
ProWsper	WaterWorks2015	ERA-NET Cofund
GreenResilient	CORE Organic Cofund	ERA-NET Cofund
ProOrg	CORE Organic Cofund	ERA-NET Cofund
RETINALYSIS	Eurostars 2	Article 185
ATTRUMAB	Eurostars 2	Article 185
HuCIAW	DIAL	ERA-NET Cofund
GATA2-HuMo	ERA PerMed	ERA-NET Cofund
XTN_NAN_LDN-CardioPredict	Eurostars 2	Article 185
NMJ-Chip	JPCOFUND2	ERA-NET Cofund
HuLog	CHANSE	ERA-NET Cofund
HELVA	M-ERA.NET 3	ERA-NET Cofund
FLEXFIX	Eurostars 2	Article 185
HQCC	QuantERA II	ERA-NET Cofund
HybbiStent	M-ERA.NET 2	ERA-NET Cofund
HyMatSiRen	M-ERA.NET 2	ERA-NET Cofund
16ENG03 HyMet	EMPIR	Article 185
Hybrid-3D	Eurostars 2	Article 185
SEN_HYBRID_INVASION	EDCTP2	Article 185
HYDROCAT	Eurostars 2	Article 185
HEROES	M-ERA.NET 3	ERA-NET Cofund
Hyconsys	SOLAR-ERA.NET Cofund	ERA-NET Cofund
HYFUEL	Eurostars 2	Article 185
HOVER	GeoERA	ERA-NET Cofund
HYPER-U-P-S	QuantERA	ERA-NET Cofund
Hypnos	Eurostars 2	Article 185
HA-Action	FLAG-ERA III	ERA-NET Cofund
I-MAESTRO	ForestValue	ERA-NET Cofund
ICONICA	EJP SOIL	EJP Cofund
MedGUIDE	AAL 2	Article 185
iCan	AAL 2	Article 185
iToilet	AAL 2	Article 185
Cure-AID	E-Rare-3	ERA-NET Cofund
CarboGrass	EJP SOIL	EJP Cofund
IMPULSES	NEURON Cofund	ERA-NET Cofund
IMPACHS	Eurostars 2	Article 185
IMPRESA	PRIMA	Article 185
IMARI-Africa	EDCTP2	Article 185
MONAD	FLAG-ERA III	ERA-NET Cofund
IMPLEMENT	ERA PerMed	ERA-NET Cofund
ISIMON	M-ERA.NET 3	ERA-NET Cofund
iPETRA	Eurostars 2	Article 185
FULSENS-GEL	M-ERA.NET 3	ERA-NET Cofund
INSTanT	ERA-MIN 2	ERA-NET Cofund
HAMELDENT	MANUNET III	ERA-NET Cofund
InnoSolPower	CSP ERANET	ERA-NET Cofund
INNOHYPPY	M-ERA.NET 3	ERA-NET Cofund
INTEGRITY	SusAn	ERA-NET Cofund
INDYE	M-ERA.NET 3	ERA-NET Cofund
INDIGO	Governance	ERA-NET Cofund
INXCES	WaterWorks2014	ERA-NET Cofund
INFLATE	Eurostars 2	Article 185
INFORMAT	Eurostars 2	Article 185
INCIPIT	M-ERA.NET 2	ERA-NET Cofund
IN-SOURCE	EN-SUGI	ERA-NET Cofund
INSeaPTION	ERA4CS	ERA-NET Cofund
IMPROVE	EDCTP2	Article 185
IMPROVE-2	EDCTP2	Article 185
ISHA	AAL 2	Article 185
GEO-URBAN	GEOTHERMICA	ERA-NET Cofund
iBioStroke	NEURON Cofund	ERA-NET Cofund
WheatSecurity	SusCrop	ERA-NET Cofund
INTEGRActiv	HDHL-INTIMIC	ERA-NET Cofund
H-CRIS	EDCTP2	Article 185
NOBACT	JPIAMR-ACTION	ERA-NET Cofund
BESTBROOD	BlueBio	ERA-NET Cofund
FLU-SWITCH	ICRAD	ERA-NET Cofund
MAQUISARD	EDCTP2	Article 185
BATMAN	ERA PerMed	ERA-NET Cofund
SCI-NET	NEURON Cofund	ERA-NET Cofund
PREADAPT	JPCOFUND2	ERA-NET Cofund
FATMAL	HDHL-INTIMIC	ERA-NET Cofund
IdeaTMEHCC	TRANSCAN-3	ERA-NET Cofund
iKASCADE	GENDER NET Plus	ERA-NET Cofund
IMADAPT	ERA PerMed	ERA-NET Cofund
SORLA-FIX	JPCOFUND2	ERA-NET Cofund
META-DETECT	Eurostars 2	Article 185
ACORN	BiodivClim	ERA-NET Cofund
DIGISCREENS	CHANSE	ERA-NET Cofund
CITIGEN	HERA JRP UP	ERA-NET Cofund
IMAGE-R	Eurostars 2	Article 185
Mariana	Eurostars 2	Article 185
I²PAD	EuroNanoMed III	ERA-NET Cofund
SleepLess	NEURON Cofund	ERA-NET Cofund
iVM	Eurostars 2	Article 185
Geographical differences in the immune response	EDCTP2	Article 185
ChoVaxim	EDCTP2	Article 185
IsoRes	EDCTP2	Article 185
Nano-IoT	Eurostars 2	Article 185
FrontAg Nexus	PRIMA	Article 185
DIgesT	TRANSCAN-2	ERA-NET Cofund
EMBED	NEURON Cofund	ERA-NET Cofund
MEDIMACS	HDHL-INTIMIC	ERA-NET Cofund
Mal-Brain study	EDCTP2	Article 185
NEUROREHAB	EJP RD	EJP Cofund
PENETRATE	EDCTP2	Article 185
PediCAP	EDCTP2	Article 185
FibroScHot	EDCTP2	Article 185
COINCIDE	JPIAMR-ACTION	ERA-NET Cofund
SecBILE	EDCTP2	Article 185
IMPASSE	WaterWorks2015	ERA-NET Cofund
Imp Amp	Eurostars 2	Article 185
KOA-LA	Eurostars 2	Article 185
ERANET-PLL	TRANSCAN-2	ERA-NET Cofund
OIL4MED	PRIMA	Article 185
PersoRad	ERA PerMed	ERA-NET Cofund
PER-NEPH	ERA PerMed	ERA-NET Cofund
SoCoRisk	ICT-AGRI-FOOD	ERA-NET Cofund
SmartCityHospitality	ENSCC	ERA-NET Cofund
15SIB02 InK 2	EMPIR	Article 185
Better hemicraniectomy	Eurostars 2	Article 185
IGORCADIA	EDCTP2	Article 185
ImPrESsIVE	BlueBio	ERA-NET Cofund
ITOFMA	Eurostars 2	Article 185
BioHortiTech	SusCrop	ERA-NET Cofund
LYMEDIADEX.	Eurostars 2	Article 185
IDOLS-G	EJP RD	EJP Cofund
ResidueGas	ERA-GAS	ERA-NET Cofund
C-LITE	Eurostars 2	Article 185
Cardio Sleep	Eurostars 2	Article 185
iMET-MRI	EMPIR	Article 185
Q-Net-Assess	ICRAD	ERA-NET Cofund
CATCH-BNI	SusCrop	ERA-NET Cofund
BELOPENEM	Eurostars 2	Article 185
17NRM04 nPSize	EMPIR	Article 185
HOLY-2020	ERACoSysMed	ERA-NET Cofund
AML_PM	ERA PerMed	ERA-NET Cofund
19ENV09 MetroPEMS	EMPIR	Article 185
BIORAS_SHRIMP	BlueBio	ERA-NET Cofund
AZMUD	PRIMA	Article 185
REStable	ERANet SmartGridPlus	ERA-NET Cofund
16NRM06 EMIRIM	EMPIR	Article 185
LAGMED	PRIMA	Article 185
Si-S/Biogas	EMPIR	Article 185
19RPT02 RealMass	EMPIR	Article 185
WaterFARMING	WaterWorks2015	ERA-NET Cofund
ESB	Eurostars 2	Article 185
IMDROFLOOD	WaterWorks2014	ERA-NET Cofund
PERISCOPE	Eurostars 2	Article 185
PERFORM	GEOTHERMICA	ERA-NET Cofund
WISH	EDCTP2	Article 185
MED-WET	PRIMA	Article 185
InovFarmer.MED	PRIMA	Article 185
INVENT	ERA-GAS	ERA-NET Cofund
PRINTPoC	MANUNET III	ERA-NET Cofund
SUPERTROUT	PRIMA	Article 185
SPOWTT	DemoWind 2	ERA-NET Cofund
ISFERALDA	PRIMA	Article 185
MEFPROC	SUSFOOD2	ERA-NET Cofund
IMPRESS	SusCrop	ERA-NET Cofund
LUCI	Eurostars 2	Article 185
ImprovAFish	BlueBio	ERA-NET Cofund
CoHEART	E-Rare-3	ERA-NET Cofund
IMPROVE-ASP	JPIAMR-ACTION	ERA-NET Cofund
Improve CPVT	E-Rare-3	ERA-NET Cofund
Q.RARE.LI	EJP RD	EJP Cofund
Microther	TRANSCAN-2	ERA-NET Cofund
I-See	NEURON Cofund	ERA-NET Cofund
Mamah	EDCTP2	Article 185
FISHGUARD	Eurostars 2	Article 185
IPerGlio	ERA PerMed	ERA-NET Cofund
PigSys	SusAn	ERA-NET Cofund
SECUREFOOD2050	FOSC	ERA-NET Cofund
ISARPAE	JPIAMR-ACTION	ERA-NET Cofund
SCALA-MEDI	PRIMA	Article 185
imdiTBap	ICRAD	ERA-NET Cofund
IMPACT	EDCTP2	Article 185
16ENV09 MetroDECOM II	EMPIR	Article 185
InBAT Sensing	Eurostars 2	Article 185
NORRIS	Eurostars 2	Article 185
JOINT-APPROACH	Eurostars 2	Article 185
R2RMon	Eurostars 2	Article 185
FAUST	Eurostars 2	Article 185
LASERGRAPH	FLAG-ERA III	ERA-NET Cofund
InFutUReWood	ForestValue	ERA-NET Cofund
ISSPTD	Eurostars 2	Article 185
REACT4MED	PRIMA	Article 185
ITEM	EN-UAC	ERA-NET Cofund
ISIBHY	M-ERA.NET 2	ERA-NET Cofund
SCPEVN	ERANet SmartGridPlus	ERA-NET Cofund
NebioSens	Eurostars 2	Article 185
InEVal	BlueBio	ERA-NET Cofund
RESILINK	PRIMA	Article 185
CineECGPlus	Eurostars 2	Article 185
LegumeGap	SusCrop	ERA-NET Cofund
SusCatt	SusAn	ERA-NET Cofund
DermaIR	Eurostars 2	Article 185
19SIP06 COAT	EMPIR	Article 185
LiberHetica	EDCTP2	Article 185
INSURE	EJP SOIL	EJP Cofund
MyFairShare	EN-UAC	ERA-NET Cofund
3dBlade	MANUNET III	ERA-NET Cofund
SkinHeal	Eurostars 2	Article 185
IANVS	AAL 2	Article 185
IONIS	AAL 2	Article 185
INSTINCT	E-Rare-3	ERA-NET Cofund
REACT NSCs	NEURON Cofund	ERA-NET Cofund
InFoScat	Eurostars 2	Article 185
PI2	MANUNET III	ERA-NET Cofund
17IND11 Hi-TRACE	EMPIR	Article 185
TISSYOU	Eurostars 2	Article 185
NFA4R2ROPV	Solar Cofund 2	ERA-NET Cofund
14IND06 pres2vac	EMPIR	Article 185
EQUALLIVES	DIAL	ERA-NET Cofund
InCoatBat	M-ERA.NET 3	ERA-NET Cofund
INFRAGECO	BiodivERsA3	ERA-NET Cofund
PEARL	Eurostars 2	Article 185
IBRAA	NEURON Cofund2	ERA-NET Cofund
Kenya CVHIV	EDCTP2	Article 185
ClimINVEST	ERA4CS	ERA-NET Cofund
NewResGenes	JPIAMR-ACTION	ERA-NET Cofund
INFER-NB	ERACoSysMed	ERA-NET Cofund
Infrastructuring Libraries in Transformation (ILIT)	ENUTC	ERA-NET Cofund
INAT	EuroNanoMed III	ERA-NET Cofund
GRAPH-OCD	FLAG-ERA III	ERA-NET Cofund
IMMENSE	M-ERA.NET 3	ERA-NET Cofund
inkjetPCB	Eurostars 2	Article 185
BattPor	M-ERA.NET 3	ERA-NET Cofund
InnoCrossLam	ForestValue	ERA-NET Cofund
EcoNMR	Eurostars 2	Article 185
INNOVA	ERA4CS	ERA-NET Cofund
ImPUlSe	PRIMA	Article 185
ImPrOVE	SUSFOOD2	ERA-NET Cofund
E*Zephyr 600	Eurostars 2	Article 185
ArtiSaneFood	PRIMA	Article 185
AGREEMed	PRIMA	Article 185
OneRNA4OvaCure	Eurostars 2	Article 185
IDOC	Eurostars 2	Article 185
SELF-Booster	Eurostars 2	Article 185
Xsense	Eurostars 2	Article 185
IFFA	Eurostars 2	Article 185
HO-FOOD	CORE Organic Cofund	ERA-NET Cofund
HALY.ID	ICT-AGRI-FOOD	ERA-NET Cofund
LIMEX	ERA-MIN 2	ERA-NET Cofund
MILDSUSFRUIT	CORE Organic Cofund	ERA-NET Cofund
IMPACT2	Eurostars 2	Article 185
NOEL	M-ERA.NET 2	ERA-NET Cofund
NICRRE	M-ERA.NET 2	ERA-NET Cofund
IP-SUNTAN	ENSCC	ERA-NET Cofund
InProVe	SUSFOOD2	ERA-NET Cofund
i-SoMPE	EJP SOIL	EJP Cofund
ISIDE	M-ERA.NET 2	ERA-NET Cofund
INSURFCAST	M-ERA.NET 2	ERA-NET Cofund
ISC-Pack	Eurostars 2	Article 185
StopMedWaste	PRIMA	Article 185
SALIVAGES	ERA-HDHL	ERA-NET Cofund
INTEGRA	Eurostars 2	Article 185
INNOTEX	OCEANERA-NET COFUND	ERA-NET Cofund
eVolution2G - V2G	EMEurope	ERA-NET Cofund
CHANGE-UP	PRIMA	Article 185
InTheMed	PRIMA	Article 185
SustainFARM	FACCE SURPLUS	ERA-NET Cofund
BioSUNmulant	FACCE SURPLUS	ERA-NET Cofund
MiDiVine	PRIMA	Article 185
Sus-Agri-CC	FOSC	ERA-NET Cofund
BIOMIMIC	ERA-MIN 2	ERA-NET Cofund
RESTORE	BiodivClim	ERA-NET Cofund
INCOMARC	M-ERA.NET 2	ERA-NET Cofund
CuSlag2CRM	ERA-MIN3	ERA-NET Cofund
ENZ4IFACES	M-ERA.NET 2	ERA-NET Cofund
Safe-H2O-Farm	PRIMA	Article 185
iGUESS-MED	PRIMA	Article 185
TumorOUT	TRANSCAN-3	ERA-NET Cofund
Flex-PoC	MANUNET III	ERA-NET Cofund
MASTERPV	SOLAR-ERA.NET Cofund	ERA-NET Cofund
InSuLA	MANUNET III	ERA-NET Cofund
15HLT04 NeuroMet	EMPIR	Article 185
MemCCSea	ACT	ERA-NET Cofund
IDMA-VAC	Eurostars 2	Article 185
PASTINNOVA	PRIMA	Article 185
SENSIF	JPIAMR-ACTION	ERA-NET Cofund
INNENERMAT	M-ERA.NET 2	ERA-NET Cofund
ICP Instant	Eurostars 2	Article 185
INNOMED	WaterWorks2015	ERA-NET Cofund
DOMINO	CORE Organic Cofund	ERA-NET Cofund
PANC-P53	TRANSCAN-3	ERA-NET Cofund
APPETITE	ERA-HDHL	ERA-NET Cofund
ProSeaFood	SUSFOOD2	ERA-NET Cofund
RAMON	Eurostars 2	Article 185
IRIDA	WaterWorks2014	ERA-NET Cofund
TRANSITION	PRIMA	Article 185
CardiSense	Eurostars 2	Article 185
PoRaCoat	M-ERA.NET 3	ERA-NET Cofund
Frac-In	Eurostars 2	Article 185
Olive3P	SUSFOOD2	ERA-NET Cofund
SEA FENNEL4MED	PRIMA	Article 185
ZeroParasitic	PRIMA	Article 185
InnoSol4Med	PRIMA	Article 185
INTOMED	PRIMA	Article 185
ULTRACLEAN	Eurostars 2	Article 185
MTI Plus	EDCTP2	Article 185
RECAP-SL	EDCTP2	Article 185
IMALA	Eurostars 2	Article 185
GRAMMY	ERA PerMed	ERA-NET Cofund
IntelliShaker	Eurostars 2	Article 185
IESS	Eurostars 2	Article 185
IGOSP	ERA-PLANET	ERA-NET Cofund
SerBIT	Eurostars 2	Article 185
MOCA	QuantERA II	ERA-NET Cofund
IMPPeach	ICT-AGRI-FOOD	ERA-NET Cofund
iCARE-PD	JPCOFUND2	ERA-NET Cofund
RecycleBIM	ERA-MIN3	ERA-NET Cofund
ROBO	MANUNET III	ERA-NET Cofund
INCARE	AAL 2	Article 185
INTENDU	MarTERA	ERA-NET Cofund
INDECIS	ERA4CS	ERA-NET Cofund
CHIAM	FOSC	ERA-NET Cofund
MINTECO	ERA-MIN 2	ERA-NET Cofund
iKnowIT	Eurostars 2	Article 185
AGRINuPeS	WaterWorks2015	ERA-NET Cofund
GaNBar	Eurostars 2	Article 185
REEScue	ERA-MIN 2	ERA-NET Cofund
SERV_FORFIRE	ERA4CS	ERA-NET Cofund
me2	ENSCC	ERA-NET Cofund
HaloSYS	FACCE SURPLUS	ERA-NET Cofund
HybridHeart	Eurostars 2	Article 185
DREAMM	EDCTP2	Article 185
IOANNA	AAL 2	Article 185
IntegrAAL	AAL 2	Article 185
INSPECT	Eurostars 2	Article 185
WATExR	ERA4CS	ERA-NET Cofund
TRANSCALL2	TRANSCAN-2	ERA-NET Cofund
IMAGINE	BiodivERsA3	ERA-NET Cofund
PerProGlio	ERA PerMed	ERA-NET Cofund
PersoProCaRisk	ERA PerMed	ERA-NET Cofund
iCUPE	ERA-PLANET	ERA-NET Cofund
i-bracelet	Eurostars 2	Article 185
QuiPack	PRIMA	Article 185
ICTU	Eurostars 2	Article 185
I-GReta	EN SGplusRegSys	ERA-NET Cofund
iMATH	Eurostars 2	Article 185
iPREMAS	MarTERA	ERA-NET Cofund
METABOLIC	EN-SUGI	ERA-NET Cofund
IWAN	Eurostars 2	Article 185
sus@pension	Eurostars 2	Article 185
LimBreak-Rail	Eurostars 2	Article 185
iTooBot	Eurostars 2	Article 185
IFAISTOS	EN SGplusRegSys	ERA-NET Cofund
SusOrgPlus	CORE Organic Cofund	ERA-NET Cofund
